TAX;PTRATIO;LSTAT;MEDV
330.0;19.1;12.5;17.6
330.0;19.1;18.46;18.5
330.0;19.1;9.16;24.3
330.0;19.1;10.15;20.5
330.0;19.1;9.52;24.5
330.0;19.1;6.56;26.2
330.0;19.1;5.9;24.4
330.0;19.1;3.59;24.8
330.0;19.1;3.53;29.6
330.0;19.1;3.54;42.8
315.0;16.4;6.57;21.9
315.0;16.4;9.25;20.9
244.0;15.9;3.11;44.0
264.0;13.0;5.12;50.0
264.0;13.0;7.79;36.0
264.0;13.0;6.9;30.1
264.0;13.0;9.59;33.8
264.0;13.0;7.26;43.1
264.0;13.0;5.91;48.8
264.0;13.0;11.25;31.0
264.0;13.0;8.1;36.5
264.0;13.0;10.45;22.8
264.0;13.0;14.79;30.7
264.0;13.0;7.44;50.0
264.0;13.0;3.16;43.5
223.0;18.6;13.65;20.7
223.0;18.6;13.0;21.1
223.0;18.6;6.59;25.2
223.0;18.6;7.73;24.4
223.0;18.6;6.58;35.2
254.0;17.6;3.53;32.4
254.0;17.6;2.98;32.0
254.0;17.6;6.05;33.2
254.0;17.6;4.16;33.1
254.0;17.6;7.19;29.1
216.0;14.9;4.85;35.1
216.0;14.9;3.76;45.4
216.0;14.9;4.59;35.4
216.0;14.9;3.01;46.0
198.0;13.6;3.16;50.0
285.0;15.3;7.85;32.2
300.0;15.3;8.23;22.0
241.0;18.2;12.93;20.1
293.0;16.6;7.14;23.2
293.0;16.6;7.6;22.3
293.0;16.6;9.51;24.8
245.0;19.2;3.33;28.5
245.0;19.2;3.56;37.3
245.0;19.2;4.7;27.9
289.0;16.0;8.58;23.9
289.0;16.0;10.4;21.7
289.0;16.0;6.27;28.6
289.0;16.0;7.39;27.1
289.0;16.0;15.84;20.3
358.0;14.8;4.97;22.5
358.0;14.8;4.74;29.0
