filename,fold,target,category,esc10,src_file,take
3-103599-A-25.wav,3,25,footsteps,FALSE,103599,A
3-103599-B-25.wav,3,25,footsteps,FALSE,103599,B
3-130330-A-22.wav,3,22,clapping,FALSE,130330,A
3-138114-A-22.wav,3,22,clapping,FALSE,138114,A
3-142593-A-38.wav,3,38,clock_tick,TRUE,142593,A
3-143933-A-38.wav,3,38,clock_tick,TRUE,143933,A
3-149465-A-22.wav,3,22,clapping,FALSE,149465,A
3-150363-A-38.wav,3,38,clock_tick,TRUE,150363,A
3-164688-A-38.wav,3,38,clock_tick,TRUE,164688,A
3-170377-A-38.wav,3,38,clock_tick,TRUE,170377,A
3-170383-A-38.wav,3,38,clock_tick,TRUE,170383,A
3-171012-A-38.wav,3,38,clock_tick,TRUE,171012,A
3-171041-A-38.wav,3,38,clock_tick,TRUE,171041,A
3-177082-A-22.wav,3,22,clapping,FALSE,177082,A
3-177083-A-22.wav,3,22,clapping,FALSE,177083,A
3-181278-A-22.wav,3,22,clapping,FALSE,181278,A
3-197435-A-22.wav,3,22,clapping,FALSE,197435,A
3-197435-B-22.wav,3,22,clapping,FALSE,197435,B
3-249913-A-25.wav,3,25,footsteps,FALSE,249913,A
3-94342-A-25.wav,3,25,footsteps,FALSE,94342,A
3-94343-A-25.wav,3,25,footsteps,FALSE,94343,A
3-94344-A-25.wav,3,25,footsteps,FALSE,94344,A
4-117627-A-25.wav,4,25,footsteps,FALSE,117627,A
4-117630-A-25.wav,4,25,footsteps,FALSE,117630,A
4-175945-A-38.wav,4,38,clock_tick,TRUE,175945,A
4-179984-A-38.wav,4,38,clock_tick,TRUE,179984,A
4-181035-A-38.wav,4,38,clock_tick,TRUE,181035,A
4-181865-A-38.wav,4,38,clock_tick,TRUE,181865,A
4-188033-A-38.wav,4,38,clock_tick,TRUE,188033,A
4-189828-A-22.wav,4,22,clapping,FALSE,189828,A
4-189830-A-22.wav,4,22,clapping,FALSE,189830,A
4-189832-A-22.wav,4,22,clapping,FALSE,189832,A
4-189832-B-22.wav,4,22,clapping,FALSE,189832,B
4-189833-A-22.wav,4,22,clapping,FALSE,189833,A
4-189836-A-22.wav,4,22,clapping,FALSE,189836,A
4-189838-A-22.wav,4,22,clapping,FALSE,189838,A
4-191327-A-38.wav,4,38,clock_tick,TRUE,191327,A
4-194711-A-38.wav,4,38,clock_tick,TRUE,194711,A
4-194979-A-25.wav,4,25,footsteps,FALSE,194979,A
4-194981-A-25.wav,4,25,footsteps,FALSE,194981,A
4-198962-A-25.wav,4,25,footsteps,FALSE,198962,A
4-198962-B-25.wav,4,25,footsteps,FALSE,198962,B
4-198965-A-38.wav,4,38,clock_tick,TRUE,198965,A
4-205738-A-22.wav,4,22,clapping,FALSE,205738,A
4-218304-A-25.wav,4,25,footsteps,FALSE,218304,A
4-218304-B-25.wav,4,25,footsteps,FALSE,218304,B
5-201194-A-38.wav,5,38,clock_tick,TRUE,201194,A
5-208624-A-38.wav,5,38,clock_tick,TRUE,208624,A
5-209698-A-38.wav,5,38,clock_tick,TRUE,209698,A
5-209833-A-38.wav,5,38,clock_tick,TRUE,209833,A
5-209989-A-22.wav,5,22,clapping,FALSE,209989,A
5-210571-A-38.wav,5,38,clock_tick,TRUE,210571,A
5-212181-A-38.wav,5,38,clock_tick,TRUE,212181,A
5-218494-A-22.wav,5,22,clapping,FALSE,218494,A
5-219342-A-38.wav,5,38,clock_tick,TRUE,219342,A
5-221567-A-22.wav,5,22,clapping,FALSE,221567,A
5-221568-A-22.wav,5,22,clapping,FALSE,221568,A
5-221950-A-22.wav,5,22,clapping,FALSE,221950,A
5-234263-A-25.wav,5,25,footsteps,FALSE,234263,A
5-234855-A-25.wav,5,25,footsteps,FALSE,234855,A
5-235671-A-38.wav,5,38,clock_tick,TRUE,235671,A
5-243025-A-25.wav,5,25,footsteps,FALSE,243025,A
5-244310-A-25.wav,5,25,footsteps,FALSE,244310,A
5-249937-A-22.wav,5,22,clapping,FALSE,249937,A
5-254160-A-22.wav,5,22,clapping,FALSE,254160,A
5-262957-A-22.wav,5,22,clapping,FALSE,262957,A
5-263490-A-25.wav,5,25,footsteps,FALSE,263490,A
5-263491-A-25.wav,5,25,footsteps,FALSE,263491,A
5-263501-A-25.wav,5,25,footsteps,FALSE,263501,A
5-51149-A-25.wav,5,25,footsteps,FALSE,51149,A
