CRIM,INDUS,RM,TAX,PTRATIO,LSTAT,MEDV
0.08826,10.81,6.417,305.0,19.2,6.72,24.2
0.15876,10.81,5.961,305.0,19.2,9.88,21.7
0.09164,10.81,6.065,305.0,19.2,5.52,22.8
0.19539,10.81,6.245,305.0,19.2,7.54,23.4
0.07896,12.83,6.273,398.0,18.7,6.78,24.1
0.09512,12.83,6.286,398.0,18.7,8.94,21.4
0.10153,12.83,6.279,398.0,18.7,11.97,20.0
0.08707,12.83,6.14,398.0,18.7,10.27,20.8
0.05646,12.83,6.232,398.0,18.7,12.34,21.2
0.08387,12.83,5.874,398.0,18.7,9.1,20.3
0.04113,4.86,6.727,281.0,19.0,5.29,28.0
0.04462,4.86,6.619,281.0,19.0,7.22,23.9
0.03659,4.86,6.302,281.0,19.0,6.72,24.8
0.03551,4.86,6.167,281.0,19.0,7.51,22.9
0.05059,4.49,6.389,247.0,18.5,9.62,23.9
0.05735,4.49,6.63,247.0,18.5,6.53,26.6
0.05188,4.49,6.015,247.0,18.5,12.86,22.5
0.07151,4.49,6.121,247.0,18.5,8.44,22.2
0.0566,3.41,7.007,270.0,17.8,5.5,23.6
0.05302,3.41,7.079,270.0,17.8,5.7,28.7
0.04684,3.41,6.417,270.0,17.8,8.81,22.6
0.03932,3.41,6.405,270.0,17.8,8.2,22.0
0.04203,15.04,6.442,270.0,18.2,8.16,22.9
0.02875,15.04,6.211,270.0,18.2,6.21,25.0
0.04294,15.04,6.249,270.0,18.2,10.59,20.6
0.12204,2.89,6.625,276.0,18.0,6.65,28.4
0.11504,2.89,6.163,276.0,18.0,11.34,21.4
0.12083,2.89,8.069,276.0,18.0,4.21,38.7
0.08187,2.89,7.82,276.0,18.0,3.57,43.8
0.0686,2.89,7.416,276.0,18.0,6.19,33.2
0.14866,8.56,6.727,384.0,20.9,9.42,27.5
0.11432,8.56,6.781,384.0,20.9,7.67,26.5
0.22876,8.56,6.405,384.0,20.9,10.63,18.6
0.21161,8.56,6.137,384.0,20.9,13.44,19.3
0.1396,8.56,6.167,384.0,20.9,12.33,20.1
0.13262,8.56,5.851,384.0,20.9,16.47,19.5
0.1712,8.56,5.836,384.0,20.9,18.66,19.5
0.13117,8.56,6.127,384.0,20.9,14.09,20.4
0.12802,8.56,6.474,384.0,20.9,12.27,19.8
0.26363,8.56,6.229,384.0,20.9,15.55,19.4
0.10793,8.56,6.195,384.0,20.9,13.0,21.7
0.10084,10.01,6.715,432.0,17.8,10.16,22.8
0.12329,10.01,5.913,432.0,17.8,16.21,18.8
0.22212,10.01,6.092,432.0,17.8,17.09,18.7
0.14231,10.01,6.254,432.0,17.8,10.45,18.5
0.17134,10.01,5.928,432.0,17.8,15.76,18.3
0.13158,10.01,6.176,432.0,17.8,12.04,21.2
0.15098,10.01,6.021,432.0,17.8,10.3,19.2
0.13058,10.01,5.872,432.0,17.8,15.37,20.4
0.14476,10.01,5.731,432.0,17.8,13.61,19.3
0.06899,25.65,5.87,188.0,19.1,14.37,22.0
0.07165,25.65,6.004,188.0,19.1,14.27,20.3
0.09299,25.65,5.961,188.0,19.1,17.93,20.5
0.15038,25.65,5.856,188.0,19.1,25.41,17.3
0.09849,25.65,5.879,188.0,19.1,17.58,18.8
0.16902,25.65,5.986,188.0,19.1,14.81,21.4
0.38735,25.65,5.613,188.0,19.1,27.26,15.7
0.25915,21.89,5.693,437.0,21.2,17.19,16.2
0.32543,21.89,6.431,437.0,21.2,15.39,18.0
0.88125,21.89,5.637,437.0,21.2,18.34,14.3
0.34006,21.89,6.458,437.0,21.2,12.6,19.2
1.19294,21.89,6.326,437.0,21.2,12.26,19.6
0.59005,21.89,6.372,437.0,21.2,11.12,23.0
0.32982,21.89,5.822,437.0,21.2,15.03,18.4
0.97617,21.89,5.757,437.0,21.2,17.31,15.6
0.55778,21.89,6.335,437.0,21.2,16.96,18.1
0.32264,21.89,5.942,437.0,21.2,16.9,17.4
0.35233,21.89,6.454,437.0,21.2,14.59,17.1
0.2498,21.89,5.857,437.0,21.2,21.32,13.3
0.54452,21.89,6.151,437.0,21.2,18.46,17.8
0.2909,21.89,6.174,437.0,21.2,24.16,14.0
1.62864,21.89,5.019,437.0,21.2,34.41,14.4
3.32105,19.58,5.403,403.0,14.7,26.82,13.4
4.0974,19.58,5.468,403.0,14.7,26.42,15.6
2.77974,19.58,4.903,403.0,14.7,29.29,11.8
2.37934,19.58,6.13,403.0,14.7,27.8,13.8
2.15505,19.58,5.628,403.0,14.7,16.65,15.6
2.36862,19.58,4.926,403.0,14.7,29.53,14.6
2.33099,19.58,5.186,403.0,14.7,28.32,17.8
2.73397,19.58,5.597,403.0,14.7,21.45,15.4
1.6566,19.58,6.122,403.0,14.7,14.1,21.5
1.49632,19.58,5.404,403.0,14.7,13.28,19.6
1.12658,19.58,5.012,403.0,14.7,12.12,15.3
2.14918,19.58,5.709,403.0,14.7,15.79,19.4
1.41385,19.58,6.129,403.0,14.7,15.12,17.0
3.53501,19.58,6.152,403.0,14.7,15.02,15.6
2.44668,19.58,5.272,403.0,14.7,16.14,13.1
1.22358,19.58,6.943,403.0,14.7,4.59,41.3
1.34284,19.58,6.066,403.0,14.7,6.43,24.3
1.42502,19.58,6.51,403.0,14.7,7.39,23.3
1.27346,19.58,6.25,403.0,14.7,5.5,27.0
1.46336,19.58,7.489,403.0,14.7,1.73,50.0
1.83377,19.58,7.802,403.0,14.7,1.92,50.0
1.51902,19.58,8.375,403.0,14.7,3.32,50.0
2.24236,19.58,5.854,403.0,14.7,11.64,22.7
2.924,19.58,6.101,403.0,14.7,9.81,25.0
2.01019,19.58,7.929,403.0,14.7,3.7,50.0
1.80028,19.58,5.877,403.0,14.7,12.14,23.8
2.3004,19.58,6.319,403.0,14.7,11.1,23.8
2.44953,19.58,6.402,403.0,14.7,11.32,22.3
1.20742,19.58,5.875,403.0,14.7,14.43,17.4
2.3139,19.58,5.88,403.0,14.7,12.03,19.1
0.13914,4.05,5.572,296.0,16.6,14.69,23.1
0.09178,4.05,6.416,296.0,16.6,9.04,23.6
0.08447,4.05,5.859,296.0,16.6,9.64,22.6
0.06664,4.05,6.546,296.0,16.6,5.33,29.4
0.07022,4.05,6.02,296.0,16.6,10.11,23.2
0.05425,4.05,6.315,296.0,16.6,6.29,24.6
0.06642,4.05,6.86,296.0,16.6,6.92,29.9
0.0578,2.46,6.98,193.0,17.8,5.04,37.2
0.06588,2.46,7.765,193.0,17.8,7.56,39.8
0.06888,2.46,6.144,193.0,17.8,9.45,36.2
0.09103,2.46,7.155,193.0,17.8,4.82,37.9
0.10008,2.46,6.563,193.0,17.8,5.68,32.5
0.08308,2.46,5.604,193.0,17.8,13.98,26.4
0.06047,2.46,6.153,193.0,17.8,13.15,29.6
0.05602,2.46,7.831,193.0,17.8,4.45,50.0
0.07875,3.44,6.782,398.0,15.2,6.68,32.0
0.12579,3.44,6.556,398.0,15.2,4.56,29.8
0.0837,3.44,7.185,398.0,15.2,5.39,34.9
0.09068,3.44,6.951,398.0,15.2,5.1,37.0
0.06911,3.44,6.739,398.0,15.2,4.69,30.5
0.08664,3.44,7.178,398.0,15.2,2.87,36.4
0.02187,2.93,6.8,265.0,15.6,5.03,31.1
0.01439,2.93,6.604,265.0,15.6,4.38,29.1
0.01381,0.46,7.875,255.0,14.4,2.97,50.0
0.04011,1.52,7.287,329.0,12.6,4.08,33.3
0.04666,1.52,7.107,329.0,12.6,8.61,30.3
0.03768,1.52,7.274,329.0,12.6,6.62,34.6
0.0315,1.47,6.975,402.0,17.0,4.56,34.9
0.01778,1.47,7.135,402.0,17.0,4.45,32.9
0.03445,2.03,6.162,348.0,14.7,7.43,24.1
0.02177,2.03,7.61,348.0,14.7,3.11,42.3
0.0351,2.68,7.853,224.0,14.7,3.81,48.5
0.02009,2.68,8.034,224.0,14.7,2.88,50.0
0.13642,10.59,5.891,277.0,18.6,10.87,22.6
0.22969,10.59,6.326,277.0,18.6,10.97,24.4
0.25199,10.59,5.783,277.0,18.6,18.06,22.5
0.13587,10.59,6.064,277.0,18.6,14.66,24.4
0.43571,10.59,5.344,277.0,18.6,23.09,20.0
0.17446,10.59,5.96,277.0,18.6,17.27,21.7
0.37578,10.59,5.404,277.0,18.6,23.98,19.3
0.21719,10.59,5.807,277.0,18.6,16.03,22.4
0.14052,10.59,6.375,277.0,18.6,9.38,28.1
0.28955,10.59,5.412,277.0,18.6,29.55,23.7
0.19802,10.59,6.182,277.0,18.6,9.47,25.0
0.0456,13.89,5.888,276.0,16.4,13.51,23.3
0.07013,13.89,6.642,276.0,16.4,9.69,28.7
0.11069,13.89,5.951,276.0,16.4,17.92,21.5
0.11425,13.89,6.373,276.0,16.4,10.5,23.0
0.35809,6.2,6.951,307.0,17.4,9.71,26.7
0.40771,6.2,6.164,307.0,17.4,21.46,21.7
0.62356,6.2,6.879,307.0,17.4,9.93,27.5
0.6147,6.2,6.618,307.0,17.4,7.6,30.1
0.31533,6.2,8.266,307.0,17.4,4.14,44.8
0.52693,6.2,8.725,307.0,17.4,4.63,50.0
0.38214,6.2,8.04,307.0,17.4,3.13,37.6
0.41238,6.2,7.163,307.0,17.4,6.36,31.6
0.29819,6.2,7.686,307.0,17.4,3.92,46.7
0.44178,6.2,6.552,307.0,17.4,3.76,31.5
0.537,6.2,5.981,307.0,17.4,11.65,24.3
0.46296,6.2,7.412,307.0,17.4,5.25,31.7
0.57529,6.2,8.337,307.0,17.4,2.47,41.7
0.33147,6.2,8.247,307.0,17.4,3.95,48.3
0.44791,6.2,6.726,307.0,17.4,8.05,29.0
0.33045,6.2,6.086,307.0,17.4,10.88,24.0
0.52058,6.2,6.631,307.0,17.4,9.54,25.1
0.51183,6.2,7.358,307.0,17.4,4.73,31.5
0.08244,4.93,6.481,300.0,16.6,6.36,23.7
0.09252,4.93,6.606,300.0,16.6,7.37,23.3
0.11329,4.93,6.897,300.0,16.6,11.38,22.0
0.10612,4.93,6.095,300.0,16.6,12.4,20.1
0.1029,4.93,6.358,300.0,16.6,11.22,22.2
0.12757,4.93,6.393,300.0,16.6,5.19,23.7
0.20608,5.86,5.593,330.0,19.1,12.5,17.6
0.19133,5.86,5.605,330.0,19.1,18.46,18.5
0.33983,5.86,6.108,330.0,19.1,9.16,24.3
0.19657,5.86,6.226,330.0,19.1,10.15,20.5
0.16439,5.86,6.433,330.0,19.1,9.52,24.5
0.19073,5.86,6.718,330.0,19.1,6.56,26.2
0.1403,5.86,6.487,330.0,19.1,5.9,24.4
0.21409,5.86,6.438,330.0,19.1,3.59,24.8
0.08221,5.86,6.957,330.0,19.1,3.53,29.6
0.36894,5.86,8.259,330.0,19.1,3.54,42.8
0.04819,3.64,6.108,315.0,16.4,6.57,21.9
0.03548,3.64,5.876,315.0,16.4,9.25,20.9
0.01538,3.75,7.454,244.0,15.9,3.11,44.0
0.61154,3.97,8.704,264.0,13.0,5.12,50.0
0.66351,3.97,7.333,264.0,13.0,7.79,36.0
0.65665,3.97,6.842,264.0,13.0,6.9,30.1
0.54011,3.97,7.203,264.0,13.0,9.59,33.8
0.53412,3.97,7.52,264.0,13.0,7.26,43.1
0.52014,3.97,8.398,264.0,13.0,5.91,48.8
0.82526,3.97,7.327,264.0,13.0,11.25,31.0
0.55007,3.97,7.206,264.0,13.0,8.1,36.5
0.76162,3.97,5.56,264.0,13.0,10.45,22.8
0.7857,3.97,7.014,264.0,13.0,14.79,30.7
0.57834,3.97,8.297,264.0,13.0,7.44,50.0
0.5405,3.97,7.47,264.0,13.0,3.16,43.5
0.09065,6.96,5.92,223.0,18.6,13.65,20.7
0.29916,6.96,5.856,223.0,18.6,13.0,21.1
0.16211,6.96,6.24,223.0,18.6,6.59,25.2
0.1146,6.96,6.538,223.0,18.6,7.73,24.4
0.22188,6.96,7.691,223.0,18.6,6.58,35.2
0.05644,6.41,6.758,254.0,17.6,3.53,32.4
0.09604,6.41,6.854,254.0,17.6,2.98,32.0
0.10469,6.41,7.267,254.0,17.6,6.05,33.2
0.06127,6.41,6.826,254.0,17.6,4.16,33.1
0.07978,6.41,6.482,254.0,17.6,7.19,29.1
0.21038,3.33,6.812,216.0,14.9,4.85,35.1
0.03578,3.33,7.82,216.0,14.9,3.76,45.4
0.03705,3.33,6.968,216.0,14.9,4.59,35.4
0.06129,3.33,7.645,216.0,14.9,3.01,46.0
0.01501,1.21,7.923,198.0,13.6,3.16,50.0
0.00906,2.97,7.088,285.0,15.3,7.85,32.2
0.01096,2.25,6.453,300.0,15.3,8.23,22.0
0.01965,1.76,6.23,241.0,18.2,12.93,20.1
0.03871,5.32,6.209,293.0,16.6,7.14,23.2
0.0459,5.32,6.315,293.0,16.6,7.6,22.3
0.04297,5.32,6.565,293.0,16.6,9.51,24.8
0.03502,4.95,6.861,245.0,19.2,3.33,28.5
0.07886,4.95,7.148,245.0,19.2,3.56,37.3
0.03615,4.95,6.63,245.0,19.2,4.7,27.9
0.08265,13.92,6.127,289.0,16.0,8.58,23.9
0.08199,13.92,6.009,289.0,16.0,10.4,21.7
0.12932,13.92,6.678,289.0,16.0,6.27,28.6
0.05372,13.92,6.549,289.0,16.0,7.39,27.1
0.14103,13.92,5.79,289.0,16.0,15.84,20.3
0.06466,2.24,6.345,358.0,14.8,4.97,22.5
0.05561,2.24,7.041,358.0,14.8,4.74,29.0
0.04417,2.24,6.871,358.0,14.8,6.07,24.8
0.03537,6.09,6.59,329.0,16.1,9.5,22.0
0.09266,6.09,6.495,329.0,16.1,8.67,26.4
0.1,6.09,6.982,329.0,16.1,4.86,33.1
0.05515,2.18,7.236,222.0,18.4,6.93,36.1
0.05479,2.18,6.616,222.0,18.4,8.93,28.4
0.07503,2.18,7.42,222.0,18.4,6.47,33.4
0.04932,2.18,6.849,222.0,18.4,7.53,28.2
0.49298,9.9,6.635,304.0,18.4,4.54,22.8
0.3494,9.9,5.972,304.0,18.4,9.97,20.3
2.63548,9.9,4.973,304.0,18.4,12.64,16.1
0.79041,9.9,6.122,304.0,18.4,5.98,22.1
0.26169,9.9,6.023,304.0,18.4,11.72,19.4
0.26938,9.9,6.266,304.0,18.4,7.9,21.6
0.3692,9.9,6.567,304.0,18.4,9.28,23.8
0.25356,9.9,5.705,304.0,18.4,11.5,16.2
0.31827,9.9,5.914,304.0,18.4,18.33,17.8
0.24522,9.9,5.782,304.0,18.4,15.94,19.8
0.40202,9.9,6.382,304.0,18.4,10.36,23.1
0.47547,9.9,6.113,304.0,18.4,12.73,21.0
0.1676,7.38,6.426,287.0,19.6,7.2,23.8
0.18159,7.38,6.376,287.0,19.6,6.87,23.1
0.35114,7.38,6.041,287.0,19.6,7.7,20.4
0.28392,7.38,5.708,287.0,19.6,11.74,18.5
0.34109,7.38,6.415,287.0,19.6,6.12,25.0
0.19186,7.38,6.431,287.0,19.6,5.08,24.6
0.30347,7.38,6.312,287.0,19.6,6.15,23.0
0.24103,7.38,6.083,287.0,19.6,12.79,22.2
0.06617,3.24,5.868,430.0,16.9,9.97,19.3
0.06724,3.24,6.333,430.0,16.9,7.34,22.6
0.04544,3.24,6.144,430.0,16.9,9.09,19.8
0.05023,6.06,5.706,304.0,16.9,12.43,17.1
0.03466,6.06,6.031,304.0,16.9,7.83,19.4
0.05083,5.19,6.316,224.0,20.2,5.68,22.2
0.03738,5.19,6.31,224.0,20.2,6.75,20.7
0.03961,5.19,6.037,224.0,20.2,8.01,21.1
0.03427,5.19,5.869,224.0,20.2,9.8,19.5
0.03041,5.19,5.895,224.0,20.2,10.56,18.5
0.03306,5.19,6.059,224.0,20.2,8.51,20.6
0.05497,5.19,5.985,224.0,20.2,9.74,19.0
0.06151,5.19,5.968,224.0,20.2,9.29,18.7
0.01301,1.52,7.241,284.0,15.5,5.49,32.7
0.02498,1.89,6.54,422.0,15.9,8.65,16.5
0.02543,3.78,6.696,370.0,17.6,7.18,23.9
0.03049,3.78,6.874,370.0,17.6,4.61,31.2
0.03113,4.39,6.014,352.0,18.8,10.53,17.5
0.06162,4.39,5.898,352.0,18.8,12.67,17.2
0.0187,4.15,6.516,351.0,17.9,6.36,23.1
0.01501,2.01,6.635,280.0,17.0,5.99,24.5
0.02899,1.25,6.939,335.0,19.7,5.89,26.6
0.06211,1.25,6.49,335.0,19.7,5.98,22.9
0.0795,1.69,6.579,411.0,18.3,5.49,24.1
0.07244,1.69,5.884,411.0,18.3,7.79,18.6
0.01709,2.02,6.728,187.0,17.0,4.5,30.1
0.04301,1.91,5.663,334.0,22.0,8.05,18.2
0.10659,1.91,5.936,334.0,22.0,5.57,20.6
8.98296,18.1,6.212,666.0,20.2,17.6,17.8
3.8497,18.1,6.395,666.0,20.2,13.27,21.7
5.20177,18.1,6.127,666.0,20.2,11.48,22.7
4.26131,18.1,6.112,666.0,20.2,12.67,22.6
4.54192,18.1,6.398,666.0,20.2,7.79,25.0
3.83684,18.1,6.251,666.0,20.2,14.19,19.9
3.67822,18.1,5.362,666.0,20.2,10.19,20.8
4.22239,18.1,5.803,666.0,20.2,14.64,16.8
3.47428,18.1,8.78,666.0,20.2,5.29,21.9
4.55587,18.1,3.561,666.0,20.2,7.12,27.5
3.69695,18.1,4.963,666.0,20.2,14.0,21.9
13.5222,18.1,3.863,666.0,20.2,13.33,23.1
4.89822,18.1,4.97,666.0,20.2,3.26,50.0
5.66998,18.1,6.683,666.0,20.2,3.73,50.0
6.53876,18.1,7.016,666.0,20.2,2.96,50.0
9.2323,18.1,6.216,666.0,20.2,9.53,50.0
8.26725,18.1,5.875,666.0,20.2,8.88,50.0
11.1081,18.1,4.906,666.0,20.2,34.77,13.8
18.4982,18.1,4.138,666.0,20.2,37.97,13.8
19.6091,18.1,7.313,666.0,20.2,13.44,15.0
15.288,18.1,6.649,666.0,20.2,23.24,13.9
9.82349,18.1,6.794,666.0,20.2,21.24,13.3
23.6482,18.1,6.38,666.0,20.2,23.69,13.1
17.8667,18.1,6.223,666.0,20.2,21.78,10.2
88.9762,18.1,6.968,666.0,20.2,17.21,10.4
15.8744,18.1,6.545,666.0,20.2,21.08,10.9
9.18702,18.1,5.536,666.0,20.2,23.6,11.3
7.99248,18.1,5.52,666.0,20.2,24.56,12.3
20.0849,18.1,4.368,666.0,20.2,30.63,8.8
16.8118,18.1,5.277,666.0,20.2,30.81,7.2
24.3938,18.1,4.652,666.0,20.2,28.28,10.5
22.5971,18.1,5.0,666.0,20.2,31.99,7.4
14.3337,18.1,4.88,666.0,20.2,30.62,10.2
8.15174,18.1,5.39,666.0,20.2,20.85,11.5
6.96215,18.1,5.713,666.0,20.2,17.11,15.1
5.29305,18.1,6.051,666.0,20.2,18.76,23.2
11.5779,18.1,5.036,666.0,20.2,25.68,9.7
8.64476,18.1,6.193,666.0,20.2,15.17,13.8
13.3598,18.1,5.887,666.0,20.2,16.35,12.7
8.71675,18.1,6.471,666.0,20.2,17.12,13.1
5.87205,18.1,6.405,666.0,20.2,19.37,12.5
7.67202,18.1,5.747,666.0,20.2,19.92,8.5
38.3518,18.1,5.453,666.0,20.2,30.59,5.0
9.91655,18.1,5.852,666.0,20.2,29.97,6.3
25.0461,18.1,5.987,666.0,20.2,26.77,5.6
14.2362,18.1,6.343,666.0,20.2,20.32,7.2
9.59571,18.1,6.404,666.0,20.2,20.31,12.1
24.8017,18.1,5.349,666.0,20.2,19.77,8.3
41.5292,18.1,5.531,666.0,20.2,27.38,8.5
67.9208,18.1,5.683,666.0,20.2,22.98,5.0
20.7162,18.1,4.138,666.0,20.2,23.34,11.9
11.9511,18.1,5.608,666.0,20.2,12.13,27.9
7.40389,18.1,5.617,666.0,20.2,26.4,17.2
14.4383,18.1,6.852,666.0,20.2,19.78,27.5
51.1358,18.1,5.757,666.0,20.2,10.11,15.0
14.0507,18.1,6.657,666.0,20.2,21.22,17.2
18.811,18.1,4.628,666.0,20.2,34.37,17.9
28.6558,18.1,5.155,666.0,20.2,20.08,16.3
45.7461,18.1,4.519,666.0,20.2,36.98,7.0
18.0846,18.1,6.434,666.0,20.2,29.05,7.2
10.8342,18.1,6.782,666.0,20.2,25.79,7.5
25.9406,18.1,5.304,666.0,20.2,26.64,10.4
73.5341,18.1,5.957,666.0,20.2,20.62,8.8
11.8123,18.1,6.824,666.0,20.2,22.74,8.4
11.0874,18.1,6.411,666.0,20.2,15.02,16.7
7.02259,18.1,6.006,666.0,20.2,15.7,14.2
12.0482,18.1,5.648,666.0,20.2,14.1,20.8
7.05042,18.1,6.103,666.0,20.2,23.29,13.4
8.79212,18.1,5.565,666.0,20.2,17.16,11.7
15.8603,18.1,5.896,666.0,20.2,24.39,8.3
12.2472,18.1,5.837,666.0,20.2,15.69,10.2
37.6619,18.1,6.202,666.0,20.2,14.52,10.9
7.36711,18.1,6.193,666.0,20.2,21.52,11.0
9.33889,18.1,6.38,666.0,20.2,24.08,9.5
8.49213,18.1,6.348,666.0,20.2,17.64,14.5
10.0623,18.1,6.833,666.0,20.2,19.69,14.1
6.44405,18.1,6.425,666.0,20.2,12.03,16.1
5.58107,18.1,6.436,666.0,20.2,16.22,14.3
13.9134,18.1,6.208,666.0,20.2,15.17,11.7
11.1604,18.1,6.629,666.0,20.2,23.27,13.4
14.4208,18.1,6.461,666.0,20.2,18.05,9.6
15.1772,18.1,6.152,666.0,20.2,26.45,8.7
13.6781,18.1,5.935,666.0,20.2,34.02,8.4
9.39063,18.1,5.627,666.0,20.2,22.88,12.8
22.0511,18.1,5.818,666.0,20.2,22.11,10.5
9.72418,18.1,6.406,666.0,20.2,19.52,17.1
5.66637,18.1,6.219,666.0,20.2,16.59,18.4
9.96654,18.1,6.485,666.0,20.2,18.85,15.4
12.8023,18.1,5.854,666.0,20.2,23.79,10.8
10.6718,18.1,6.459,666.0,20.2,23.98,11.8
6.28807,18.1,6.341,666.0,20.2,17.79,14.9
9.92485,18.1,6.251,666.0,20.2,16.44,12.6
9.32909,18.1,6.185,666.0,20.2,18.13,14.1
7.52601,18.1,6.417,666.0,20.2,19.31,13.0
6.71772,18.1,6.749,666.0,20.2,17.44,13.4
5.44114,18.1,6.655,666.0,20.2,17.73,15.2
5.09017,18.1,6.297,666.0,20.2,17.27,16.1
8.24809,18.1,7.393,666.0,20.2,16.74,17.8
9.51363,18.1,6.728,666.0,20.2,18.71,14.9
4.75237,18.1,6.525,666.0,20.2,18.13,14.1
4.66883,18.1,5.976,666.0,20.2,19.01,12.7
8.20058,18.1,5.936,666.0,20.2,16.94,13.5
7.75223,18.1,6.301,666.0,20.2,16.23,14.9
6.80117,18.1,6.081,666.0,20.2,14.7,20.0
4.81213,18.1,6.701,666.0,20.2,16.42,16.4
3.69311,18.1,6.376,666.0,20.2,14.65,17.7
6.65492,18.1,6.317,666.0,20.2,13.99,19.5
5.82115,18.1,6.513,666.0,20.2,10.29,20.2
7.83932,18.1,6.209,666.0,20.2,13.22,21.4
3.1636,18.1,5.759,666.0,20.2,14.13,19.9
3.77498,18.1,5.952,666.0,20.2,17.15,19.0
4.42228,18.1,6.003,666.0,20.2,21.32,19.1
15.5757,18.1,5.926,666.0,20.2,18.13,19.1
13.0751,18.1,5.713,666.0,20.2,14.76,20.1
4.34879,18.1,6.167,666.0,20.2,16.29,19.9
4.03841,18.1,6.229,666.0,20.2,12.87,19.6
3.56868,18.1,6.437,666.0,20.2,14.36,23.2
4.64689,18.1,6.98,666.0,20.2,11.66,29.8
8.05579,18.1,5.427,666.0,20.2,18.14,13.8
6.39312,18.1,6.162,666.0,20.2,24.1,13.3
4.87141,18.1,6.484,666.0,20.2,18.68,16.7
15.0234,18.1,5.304,666.0,20.2,24.91,12.0
10.233,18.1,6.185,666.0,20.2,18.03,14.6
14.3337,18.1,6.229,666.0,20.2,13.11,21.4
