content,target,target_names
" I have been following this thread on talk.religion, soc.religion.christian.bible-study and here with interest.  I am amazed at the different non-biblical argument those who oppose the Sabbath present.   One question comes to mind, especially since my last one was not answered from Scripture.  Maybe clh may wish to provide the first response.  There is a lot of talk about the Sabbath of the TC being ceremonial.  Answer Since the TC commandments is one law with ten parts on what biblical basis have you decided that only the Sabbath portion is ceremonial? OR You say that the seventh-day is the Sabbath but not applicable to Gentile Christians.  Does that mean the Sabbath commandment has been annulled?  References please.  If God did not intend His requirements on the Jews to be applicable to Gentile Christians why did He make it plain that the Gentiles were now grafted into the commonwealth of Israel?  Darius  [Acts 15, Roma loop at this point.  This is one of those classic situations where both sides think they have clear Scriptural support, and theres no obvious argument that is going to change anybodys mind.  I dont think were going anything but repeating ourselves.  --clh] ",1,soc.religion.christian
" In article <C4Hyou.1Iz@mentor.cc.purdue.edu> hrubin@pop.stat.purdue.edu (Herman Rubin)>In article <188@ky3b.UUCP> km@ky3b.pgh.pa.us (Ken Mitchum)> >>Ditto. Disease is a great leveling experience, however. Some people >>are very much afronted to find out that all the money in the world >>does not buy one health. Everyone looks the same when they die. > >If money does not buy one health, why are we talking about paying >for medical expenses for those not currently ""adequately covered""?  Herman, I would think you of all people would/could distinguish between ""health"" and ""treatment of disease."" All the prevention medicine people preach this all the time. You cannot buy health. You can buy treatment of disease, assuming you are lucky enough to have a disease which can be treated. A rich person with a terminal disease is a bit out of luck. There is no such thing as ""adequately covered"" and there never will be.   And for what its worth, Ill be the first to admit that all my patients die.  -km ",3,sci.med
"  an excellent automatic can be found in the subaru legacy.  it switches to ""sport"" mode when the electronics figure it,  not when the driver sets the switch.. which is the proper way to do it, IMO.  so what does ""sport"" mode entail?  several 1) revving to red line (or to the rev limiter in the case of the legacy)  2) delayed upshifts.  (i.e. if you lift off briefly, it will remain in the 	low gear.  this is handy if you are charging through corners and 	would like to do without the distraction of upshifts when theres 	another curve approaching)  3) part throttle downshifts, based on the *speed* at which the pedal is 	depressed, rather than the *position* of the pedal.  modern 	electronics can measure this very easily and switch to sport mode. 	this is wonderful if you want to charge through a green light about 	to turn red.  my audi senses this very well and can downshift on as 	little as half throttle if my right foot is fast enough.  also, i think that a smart automatic can deliver better gas mileage than a dumb driver with a stick, all else being equal.. remember that the idea of a stick being more economical than an automatic makes a big assumption that the driver is smart enough to know what gear to use for each situation.. how many times have you ridden with an inattentive driver cruising on the highway at 55/65 in 4th gear (of a 5 speed)?    how many % of people who drive manuals *really* know what the best gear to use is for every conceivable situation?  im sure there will be some who know, but i suspect that a chip controlled automatic with all possible scenario/ratio combinations stored in ROM is likely to do better.  i can also say that all my previous assumptions were proved wrong after i got a car with instantaneous mpg readout... high gear, low revs and wide open throttle is more economical than low gear, high revs and small throttle opening.  the explanation is quite simple if one sits down to think about it, but not that obvious at first sight.   eliot ",0,rec.autos
" : Ford and his automobile.  I need information on whether Ford is : partially responsible for all of the car accidents and the depletion of : the ozone layer.  Also, any other additional information will be greatly : appreciated.  Thanks.  :  SSSSSoooooooooooo!!!!! Its all HIS fault!! Thank God Louis Chevrolet is  innocent! and that guy Diesel, HE otto feel guilty!   -- Stephen Phillips Atlanta Response Center Atlanta, Ga. Home of the Braves! ",0,rec.autos
" In article <1993Apr17.051701.3419@nuscc.nus.sg> matmcinn@nuscc.nus.sg (Matthew MacIntyre at the National University of Senegal)>callison@uokmax.ecn.uoknor.edu (James P. Callison)>: >>  >: >Im not going to argue the issue of carrying weapons, but I would ask you if  >: >you would have thought seriously about shooting a kid for setting off your >: >alarm?  I can think of worse things in the world.  Glad you got out of there >: >before they did anything to give you a reason to fire your gun. >:  >I think people have a right to kill to defend their property. Why not? Be > Yo! Watch the attributions--I didnt say that!  Again, this isnt an appropriate forum for discussions on whether you should shoot someone for property damage/vandalism/theft, but every responsible gun owner realizes that there are limits, and the punishment must fit the crime. I mean, think about it--is a (really) harmless prank worth killing over?  As I said, the situation described (punks setting off alarms and taunting people to come out) could turn very ugly very quickly, and it is worth being prepared when your life is potentially on the line.  				James  James P. Callison    Microcomputer Coordinator, U of Oklahoma Law Center  Callison@uokmax.ecn.uoknor.edu   /\    Callison@aardvark.ucs.uoknor.edu		The forecast calls for Thunder...89 T-Bird SC    ""Its a hell of a thing, killing a man. You take away all he has  	and all hes ever gonna have.""  			--Will Munny, ""Unforgiven"" ",0,rec.autos
" In article <1993Apr14.171718.18852@lmpsbbs.comm.mot.com> sheinfel@ssd.comm.mot.com (Aviad Sheinfeld)> >>	Do you think I can use a electric drill( change to a suitable >>bit ) to turn it out?  If I can succeed, can I re-tighten it not too >>tight, is it safe without oil leak? > >Tighten the bolt to the specified torque in your service manual.  That >way it wont leak, strip, break, etc. (hopefully :-) ) >> >>Thank you very much in advance------  Winson > >Aviad  You can avoid these problems entirely by installing an oil drain valve in place of the bolt.  I have one on both of my cars.  There have been no leaks in 210,000 miles (combined miles on both cars). --  Ron DeBlock  rdb1@homxb.att.com  (thats a number 1 in rdb1, not letter l) AT&T Bell Labs   Somerset, NJ  USA ",0,rec.autos
" I have a 1986 Acura Integra 5 speed with 95,000 miles on it. It is positively the worst car I have ever owned. I had an 83 Prelude that had 160k miles on it when I sold it, and it was still going strong .  This is with religious attention to maintenance such as oil changes etc. Both cars were driven in exactly the same manner..    1. It has gone through two clutches (which are underrated.)   2. 3 sets of tires (really eats tires in the front even with careful align)   3. All struts started leaking about 25-30k miles   4. Windshield wiper motor burned up (service note on this one)   5. Seek stop working on radio about 20k miles   6. Two timing belts.   7. Constant error signals from computer.    8. And finally. A rod bearing went out on the No. 1 piston seriously damaging      the crankshaft, contaminating the engine etc. When the overhaul was done      last week it required new crankshaft, one new cam shaft (has two) because      the camshaft shattered when they tried to mill it. The camshaft took 4      weeks to get because it is on national back order.        Everything on the engine is unique to the 1986 year. They went to a new      design in 87. Parts are very expensive.  No way would I ever buy another Acura. It is highly overrated. .         ",0,rec.autos
" In article <1r1vofINN871@usenet.pa.dec.com> tomacj@opco.enet.dec.com (THUNDERBIRDS ARE GO !!!)>	Are there any MR2 owners or motor-head gurus out there, that know why >my MR2s engine sounds noisy? The MR2s engine is noisy at the best of times,  >but not even a nice nose - its one of those very ugly noises.   assuming yours is a non turbo MR2, the gruffness is characteristic of a large inline 4 that doesnt have balance shafts.  i guess toyota didnt care about ""little"" details like that when they can brag about the mid engine configuration and the flashy styling.  myself, i automatically cross out any car from consideration (or recommendation) which has an inline 4 larger than 2 liters and no balance shafts..  it is a good rule of thumb to keep in mind if you ever want a halfway decent engine.    if the noise really bugs you, there is nothing else that you can do except to sell it and get a V6.   eliot ",0,rec.autos
" In article <C5r5vt.941@news.cso.uiuc.edu> cka52397@uxa.cso.uiuc.edu (OrioleFan@uiuc)>jmann@vineland.pubs.stratus.com (Jim Mann) [deleted]  >	Someone told me this game started at>in their right mind would go to a game on monday at 11AM????  Keep in mind this was in Massachussetts.  Today was Patriots Day, a state holiday.  I think it might be a floating holiday, but given that the Marathon also happens the same day, most people dont go in.   --   #include <std_disclaimer.h>  Dan S. ",2,rec.sport.baseball
" In article <1993Apr21.024103.29880@spdcc.com>, dyer@spdcc.com (Steve Dyer)> In article <1993Apr20.212706.820@lrc.edu> kjiv@lrc.edu>>Can someone tell me whether or not any of the following medications  >>has been linked to rapid/excessive weight gain and/or a distorted  >>sense of taste or>>prevent asthma); Vancenase. >  > Hismanal (astemizole) is most definitely linked to weight gain. > It really is peculiar that some antihistamines have this effect, > and even more so an antihistamine like astemizole which purportedly > doesnt cross the blood-brain barrier and so tends not to cause > drowsiness.  It also gave me lots of problems with joint and muscle pain.  Seemed to trigger arthritis-like problems.  Sue  >  > --  > Steve Dyer > dyer@ursa-major.spdcc.com aka {ima,harvard,rayssd,linus,m2c}!spdcc!dyer ",3,sci.med
" First, I would like to thank all who sent me their opinions on the matter at hand.  All advice was taken to heart, if not directly used.  My friend found out about the matter quite accidently.  After reading some of my mail, I quit from the mail reader & went about my business.  I must have trashed my mail improperly, because he got on the same terminal the next day & saw my old messages.  He thought they were responses to a post he placed in alt.atheism earlier that week, so he read some of them before realizing that they were for me.  I got a message from him the next day; he apologized for reading my mail & said that he did not want to appear to be a snoop.  He said that he would be willing to talk to me about his views & didnt mind doing so, especially with a friend.  So we did.  I neither changed his mind nor did he change mine, as that was not the point.  Now he knows where Im coming from & now I know where hes coming from.  And all that I can do is pray for him, as Ive always done.  I believe the reason that he & I ""click"" instead of ""bash"" heads is because I see Christianity as a tool for revolution, & not a tool for maintaining the status quo.  To be quite blunt, I have more of a reason to reject God than he does just by the fact that I am an African-American female.  Christianity & religion have been used as tools to separate my people from the true knowledge of our history & the wealth of our contributions to the world society.  The ""kitchen of heaven"" was all we had to look forward to during the slave days, & this mentality & second-class status still exists today.  I, too, have rejected an aspect of Christianity----that of the estabished church.  Too much hypocricy exists behind the walls of ""Gods house"" beginning with the images of a white Jesus to that of theraise hell beginning Monday.  God-willing, I will find a church home where I can feel comfortable & at-home, but I dont see it happening anytime soon.  Sherlette  ",1,soc.religion.christian
" At the end of a recent (Mon 19 Apr 1993) post, Alastair Thomson offers the following ""paraphrase"" of John    ""God loved the world so much, that he gave us His Son,    to die in our place, so that we may have eternal life.""  The ""to die in our place"" bothers me, since it inserts into the verse a doctrine not found in the original. Moreover, I suspect that the poster intends to affirm, not merely substitution, but forensic (or penal) substitution.  I maintain that the Scriptures in speaking of the Atonement teach a doctrine of Substitution, but not one of Forensic Substitution.  Those interested in pursuing the matter are invited to send for my essays on Genesis, either 4 thru 7 (on this question) or 1 through 7 (with lead-in).  The nth essay can be obtained by sending to LISTSERV@ASUACAD.BITNET or to LISTSERV@ASUVM.INRE.ASU.EDU the message    GET GEN0n RUFF   Yours,  James Kiefer   ""Any theologian worth his salt can put anything he wants to say in the form of a commentary on the Book of Genesis"" -- Walter Kaufman. ",1,soc.religion.christian
" stuff deleted ...  > Religion (especially Christianity) is nothing more than a DRUG. > Some people use drugs as an escape from reality.  Christians inject > themselves with jeezus and live with that high.    Your logic is falty.  If Christianity is a DRUG, and once we die we die, then why would you be reluctant to embrase this drug so that while you are alive you enjoy yourself.  I also question your overall motives for posting this article.  Why would you waste your presious fews seconds on this earth posting your opinon to a group that will generally reject it.  If you die, never having acepting Christ as your savior, I hope you have a fantastic life that it is all you evver dreamed because it is al of heaven you will ever know.  In Christs Love, Bryan ",1,soc.religion.christian
" When are the Yankees planning on activating Melido Perez?  His 15 days on the DL are up today, but are they bringing him back this weekend?   Thanks for any info.    ",2,rec.sport.baseball
" eulenbrg@carson.u.washington.edu (Julia Eulenberg) >Im assuming that you mean Rheumatoid Arthritis (RA).  Ive never heard  >of the ""cold treatment"" you mentioned.  I cant imagine how it would  >work, since most of us who have Rh.Arthr./RA seem to have more problems >in cold weather than in warm weather.  Would be interested to hear more! >Z >Z   No, obviously talking about Research Assistants.  I favor a high protein, low fat diet, barely adequate salary on a fixed time schedule, four hours of sleep a night, continuous infusion of latte, unpredictable praise  mixed randomly with anxiety-provoking, everpresent glances with  lowered eyebrows, unrealistic promises of rapid publication, and  every three months a dinner consisting of nothing but microbrewery ale and free pretzels.  Actually, mine hails from San Diego, and indeed  has more problems in Seattle in cold weather than in warm.  Doug Fitts dfitts@u.washington.edu    ",3,sci.med
" In article <1993Apr6.155118.5779@ra.msstate.edu> js1@Isis.MsState.Edu   (Jiann-ming Su)> In article <ls1d6vINNs65@appserv.Eng.Sun.COM>   str@maredsous.Eng.Sun.COM (Todd Rader)> >Stay in school.  You have a lot to learn. >  > Learn what?  I know that 3 million dollars is A LOT of money.  I   know  > Rickey Henderson doesnt have a career out of baseball.  I know if   he  > didnt have baseball, he wouldnt be making near the money he is   now. >   And Michael Jackson, Jack Nicholson, and Bill Cosby wouldnt be  making near as much money if they werent entertainers. So whats your point?  > I just dont understand how some athlete, who only plays a sport   for a  > living for millions of dollars, say he is not being paid enough. >  > If nobody will sign him for his asking price, he will be the one   hurting. > The As will still win without him.  Will they?  You cant usually take away one of the teams best players and still expect them to win.  Or do you think the  Pirates will continue to win without Barry Bonds.  >  > Remeber, many of these athletes have NOTHING if not for their   athletic  > ability.  NOTHING.  They are getting paid MUCH more than most hard   working > citizens, and they are complaining of not enough pay.  So. Again, Jack Nicholson gets paid much more than most hard working citizens (and much more than Rickey Henderson for that matter).   >  > I dont have a problem with them making millions.  My problem is   when the > say they arent being paid enough, when they already get 3   million--also, > their numbers get worse.  The reason the latter often happens is that many of these folks start making the real big salaries late in their career, when they are on the decline. (There are exceptions, of course. Dave Parker fell apart after making his first million because he put most of that million up his nose.)  -- Jim Mann             Stratus Computer   jmann@vineland.pubs.stratus.com   ",2,rec.sport.baseball
" > Any one who thinks that Homosexuality and Christianity are compatible should  >  > ck        >>         Romans>         I Corinthians>         I Timothy>         Jude>         II Peter>         Gen. 19 >         Lev> (to name a few of the verses that pertain to homosexuality) > In Christs Love, > Bryan Whitsell  I was waiting for this. I think your question should be rephrased. The many verses of the Bible which condem homosexuality (by our beliefs) have been shoved down the throats of homosexuals for a long time by (well-meaning?) Christians. The question is how do they interpret these verses. Any discussion of any issue (this or any other issue) requires a proof of your case as well as a disproof of the opposing view. We are already familiar with those verses and many have proven to themselves that these condem homosexual behaviour. We must now establish reasons for not believing this to be true based on the interpretation of these scriptures given by someone who has come to grips with them.  Todd... ",1,soc.religion.christian
"      anello@adcs00.fnal.gov (Anthony Anello) A(>  Can anyone tell me if a bloodcount of 40 when diagnosed as hypoglycemic is A(>  dangerous, i.e. indicates a possible pancreatic problem?  One Dr. says no, the A(>  other (not his specialty) says the first is negligent and that another blood A(>  test should be done.  Also, what is a good diet (what has worked) for a hypo- A(>  glycemic?  TIA. A(>   A(>   A(>  Anthony Anello A(>  Fermilab A(>  Batavia, Illinois     Once you have your hypoglycemia CONFIRMED through the proper     channels, you might consider ther    1) Chelated Manganese   25-50mg/day.    2) Chelated Chromium    400-600mcg/day.    3) Increase protein through foods or supplements.    4) Avoid supplements/foods high in Potassium, Calcium, Zinc.    5) Avoid Vit C supplements in excess of 100mg.    6) Avoid honey and foods high in simple sugars.    7) Enjoy breads, cereals, grains...     Discuss the above with your health practitioner for compatibility    with your body chemistry and safety.     --Ron-- ---    RoseReader 2.00   RoseMail 2.10 :",3,sci.med
