d1,d2,d3,d4,w
7.16,6.49,1.79,2.78,51.4
6.8,6.84,3.03,2.15,53.03
6.79,6.75,2.22,2.27,50.83
7.39,6.93,2.88,0.35,52.28
8.09,7.47,0.97,2.9,63.29
6.58,6.28,1.12,1.12,42.59
7.27,6.07,1.53,-0.27,43.67
6.82,7.17,2.57,1.38,52.43
7.39,6.91,2.36,2.42,56.8
7.22,7.08,1.98,4.1,59.25
7.53,7.22,2.62,1.63,58.65
5.6,6.91,1.85,0.67,39.95
6.7,7.4,1.98,4.12,57.73
6.51,6.55,3.3,2.16,49.78
6.95,7.03,1.41,1.74,51.3
6.64,6.58,2.18,0.92,45.73
6.68,6.44,3.61,1,46.58
7.34,7.31,2.1,3.48,60.96
7.95,7.28,2.71,1.73,62.6
5.59,6.03,1.39,1.46,35.73
6.84,6.44,3.96,1.49,49.97
7.16,7.15,-0.25,3.57,50.25
7,7.54,0.87,1.41,53.98
6.83,6.67,0.95,2.63,48.01
6.32,6.91,3.62,2.27,51.88
6.53,6.29,2.35,2.24,46.35
7.36,8.26,1.74,1.12,62.73
7.54,7.24,0.72,2.66,56.47
7.05,7.45,2.36,3.61,61.02
6.58,7.33,2.11,1.95,52.36
7.05,7.47,1.31,1.08,54.04
6.88,7.3,0.51,0.71,50.61
7.27,6.83,0.9,2.19,51.66
7.06,7.37,2.21,1.73,55.86
6.69,7.04,2.31,1.9,51.47
7.1,7.65,2.07,2.01,58.44
6.41,6.63,1.85,0.52,43.48
7.41,6.73,0.23,2.78,50.51
7.59,7.33,2.05,2.23,60.23
6.41,7.64,0.97,1.93,50.84
7.21,7.07,2.04,2.23,55.55
6.5,6.64,2.47,2.93,50.43
7.54,6.94,1.32,2.05,55.02
7.45,6.75,0.98,1.15,51.43
6.88,7.95,2.99,3.17,64.2
7.5,7.45,2.35,1.57,59.54
6.78,7.63,1.36,1.27,53.52
6.68,7.15,-1,0.44,47.32
6.72,6.72,1.95,2.01,49.06
6.93,7.59,2.63,0.95,55.08
6.84,7.83,3.12,1.48,58.15
7.08,7.29,1.32,2.45,54.84
6.69,6.99,1.36,2.03,49.53
7.38,7.54,1.56,3.02,60.36
7.51,6.81,2.84,2.31,57.72
6.75,7.38,0.83,1.6,51.16
6.29,6.64,1.89,1.67,44.92
7.36,6.51,1.07,1.49,49.57
7.57,7.28,2.27,2.65,61.13
6.92,7.17,0.45,2.02,50.5
6.36,7.95,2.38,1.59,54.33
7.13,6.86,1.5,2.84,53.21
5.11,6.98,1.54,0.88,37
4.49,4.41,-2.34,-0.37,20.64
3.34,4.31,-0.22,-0.05,14.4
5.48,6.12,-3.26,0.51,31.88
5.26,5.09,0.73,0.88,27.42
5.06,4.47,0.06,-1.61,22.52
4.52,6.71,0.05,0.9,30.41
4.08,5.69,-0.14,-0.22,23.25
4.75,5.83,1.3,-0.69,26.82
5.25,4.38,-0.29,-0.39,23.12
4.86,5.55,1.03,0.79,27.77
4.84,5.41,0.55,1.76,27.18
4.49,5.85,0.36,0.15,26.31
5.37,6.26,0.46,0.56,33.91
5.26,6.24,0.11,-0.81,32.71
4.17,5.19,-1.09,0.49,21.11
5.84,5.76,0.72,0.82,34.2
5.87,3.74,0.71,-1.49,20.9
5.89,5.71,-0.14,-0.51,33.72
4.86,5.75,0.73,0.79,28.51
4.79,4.57,0.9,-1.76,20.3
3.72,4.15,-1.28,-0.37,15.93
5.83,4.94,-0.14,0.6,28.69
2.65,3.67,-0.44,-1.69,10.46
4.57,5.37,-0.91,-0.4,24.92
4.63,5.32,0.32,0.05,24.65
5.94,3.96,-0.84,0.89,22.76
5,5.05,-0.43,-1.28,25.81
3.94,6.17,0.25,1.11,24.59
3.43,6.17,0.35,0.31,21.27
4.2,6.11,0.32,1.2,26.04
5.12,4.83,2.23,1.16,27.34
5.06,4.63,-0.5,0.34,23.25
4.78,4.57,0.25,0.49,21.98
4.25,5.65,-1.21,-1.74,26.1
4.77,7.59,0.48,-1.35,35.53
6.1,6.55,1.15,-1.01,38.75
3.79,6.74,1.21,-0.35,25.14
5.04,6.48,-0.64,0.93,32.07
6.78,3.23,-0.28,-1.78,22.37
5.61,4.78,1.26,-0.32,26.41
4.5,4.52,-0.09,-1.32,20.47
5.73,6.37,0.96,-1.56,35.01
4.17,6.86,-0.97,1.48,27.18
5.01,4.27,1.38,0.1,21.52
6.71,5.04,1.03,1.64,35.51
7.08,5.61,0.46,1.18,40.31
3.12,4.46,-0.8,-0.92,14.66
5.77,4.31,-0.16,-1.85,25.16
7.14,4.25,0.15,2.07,30.71
4.4,5.97,0.26,-0.41,26.18
5.28,4,-0.1,-1.14,21.26
6.66,6.25,-0.22,0.69,41.45
4.46,5.1,0.19,0.14,22.74
5.5,5.83,1.4,-0.67,31.09
4.93,6.7,-2.01,-0.35,33.76
2.88,4.26,-1.37,0.16,12.07
5.38,4.1,-1.54,0.07,21.96
4.8,5.47,-0.69,0.76,25.72
6.02,3.87,-1.74,-0.35,23.89
7.3,4.2,0.55,-0.34,30.46
5.75,4.88,0.1,0.6,28.1
4.6,5.17,-0.25,0.31,23.69
5.5,3.63,-0.68,1.09,19.21
5.22,4.58,0.16,-0.25,23.88
6.13,5.64,0.18,-0.1,34.53
3.42,6.48,0.33,-1.16,21.75
3.72,2.84,-0.73,1.5,9.48
2.75,6.43,0.65,-1.39,16.79
5.67,5.97,-1.47,0.2,33.53
4.98,3.81,1.25,-0.89,17.85
4.3,3.39,-3.08,0.34,13.51
4.2,5.46,-0.59,0.74,22.49
4.37,4.54,-1.2,-1.64,21.81
3.98,5.15,0.79,-0.21,20.32
4.65,5.94,-1.49,-1.76,30.23
4.46,4.59,1.82,1.4,23.02
6.53,5.18,-1.54,-0.44,34.49
5.36,5.52,2.03,-1.58,26.37
4.1,5.97,0.45,-0.7,24.18
4.36,6.93,0.03,1.31,30.24
6.32,6.86,0.44,1.49,44.02
5.5,5.26,2.19,1.27,31.73
5.32,4.74,0.89,-0.78,24.55
5.79,7.6,-2.23,-0.15,44.36
6.74,5.7,1.19,1.63,40.41
3.66,5.47,0.23,-0.73,19.85
4.18,3.79,-1.62,-0.33,16.4
3.09,5.85,0.76,-0.95,17.33
5.54,4.15,-1.21,-1.16,24.42
4.58,4.5,0.18,1.21,20.84
4.26,3.54,0.23,0.63,15.23
4.16,4.43,-0.65,0.45,18.15
5.76,5.07,0.65,0.58,29.57
4.84,3.36,-1.02,1.02,15.22
4.42,4.02,0.19,1.51,18.05
6.38,4.91,-0.55,-0.01,31.37
3.85,3.62,-0.18,-0.34,13.99
3.61,3.63,1.92,-1.02,11.13
7.85,4.09,0.11,1.08,32.24
4.6,3.46,-1.09,-0.51,16.46
4.4,5.67,-0.12,-1.49,25.15
4.2,3.91,-0.77,-0.27,16.64
4.85,5.84,0.03,0.02,28.33
5.86,6.01,0.16,0.83,35.38
5.83,3.69,0.08,1,21.59
5.6,5.04,0.08,-0.73,28.18
4.69,4.48,-0.54,-0.8,21.44
3.36,3.75,0.45,-0.33,12.47
5.31,4.63,1.06,-1.21,23.33
6.67,4.74,-0.62,-0.11,31.66
6.18,5.78,-0.06,0.46,35.67
4.81,6.12,0.06,0.04,29.49
5.88,3.79,1.25,-1.61,20.3
4.58,4.56,1.08,-1.19,19.56
4.94,5.58,-0.73,1.29,26.63
3.64,6.29,0.07,-1.01,22.84
4.65,2.32,-1.49,0.74,9.7
5.15,6.4,-0.97,0.63,32.39
4.81,4.82,0.02,-0.32,23.18
5.85,6.68,0.63,-1,38.44
7.07,4.54,0.95,0.21,32.27
6.45,4.09,-0.31,-0.89,26.66
4.66,5.05,-1.35,-0.18,23.79
4.2,6.28,0.4,0.11,26.4
4.28,5.03,-0.17,-0.72,21.68
3.92,2.41,0.42,-0.23,9.37
5.04,5.75,0.16,-0.31,28.92
5.46,3.23,0.72,-1.24,16.78
5.2,3.93,0.65,-0.19,20.3
5.21,3.72,0.84,-0.64,18.88
5.17,2.98,-0.46,-1.82,16.27
4.85,3.62,1,-0.34,17.26
4.18,3.92,-0.5,-0.28,16.52
6.9,4.33,0.08,-0.6,29.8
6.15,4.94,1.86,-2.06,26.57
4,4.63,0.36,0.78,18.81
4,3.37,-1.17,0.68,12.7
4.36,4.8,1.49,0.65,21.87
5.04,6.07,1,0.32,30.9
6.38,6.04,1.14,-1.26,37.15
6.12,5.15,0.2,0.12,31.51
6.17,5.68,0.35,-0.93,34.76
6.2,5.98,-0.23,2.19,36.56
6.22,6.5,-0.7,-0.52,40.76
5.81,6.87,1.53,0.67,40.92
5.5,4.65,-0.37,-1.55,26.13
4.87,4.7,-0.48,-1.18,23.46
3.08,6.62,-0.44,-0.54,20.64
4.86,6.72,1.86,0.7,33.94
